HS_used	TL_used	Share_TL_used	HS_selected	TL_selected
HS07	010594	0.5	HS02	010592
HS07	010594	0.5	HS02	010593
HS07	020890	0.5	HS02	020820
HS07	020890	0.5	HS02	020890
HS07	030194	1	HS02	030199
HS07	030195	1	HS02	030199
HS07	030199	1	HS02	030199
HS07	030267	1	HS02	030269
HS07	030268	1	HS02	030269
HS07	030269	1	HS02	030269
HS07	030351	1	HS02	030350
HS07	030352	1	HS02	030360
HS07	030361	1	HS02	030379
HS07	030362	1	HS02	030379
HS07	030379	1	HS02	030379
HS07	030411	1	HS02	030410
HS07	030412	1	HS02	030410
HS07	030419	1	HS02	030410
HS07	030421	1	HS02	030420
HS07	030422	1	HS02	030420
HS07	030429	1	HS02	030420
HS07	030491	1	HS02	030490
HS07	030492	1	HS02	030490
HS07	030499	1	HS02	030490
HS07	051199	0.333333333333333	HS02	050300
HS07	051199	0.333333333333333	HS02	050900
HS07	051199	0.333333333333333	HS02	051199
HS07	060311	1	HS02	060310
HS07	060312	1	HS02	060310
HS07	060313	1	HS02	060310
HS07	060314	1	HS02	060310
HS07	060319	1	HS02	060310
HS07	070990	0.5	HS02	070910
HS07	070959	0.5	HS02	070952
HS07	070959	0.5	HS02	070959
HS07	070990	0.5	HS02	070990
HS07	071190	0.5	HS02	071130
HS07	071190	0.5	HS02	071190
HS07	080260	1	HS02	080290
HS07	080290	1	HS02	080290
HS07	081090	0.5	HS02	081030
HS07	081090	0.5	HS02	081090
HS07	090611	1	HS02	090610
HS07	090619	1	HS02	090610
HS07	091099	0.5	HS02	091040
HS07	091091	0.5	HS02	091050
HS07	091091	0.5	HS02	091091
HS07	091099	0.5	HS02	091099
HS07	110290	0.5	HS02	110230
HS07	110290	0.5	HS02	110290
HS07	120799	0.25	HS02	120710
HS07	120799	0.25	HS02	120730
HS07	120799	0.25	HS02	120760
HS07	120799	0.25	HS02	120799
HS07	120929	0.5	HS02	120926
HS07	120929	0.5	HS02	120929
HS07	121190	0.5	HS02	121110
HS07	121190	0.5	HS02	121190
HS07	121299	0.333333333333333	HS02	121210
HS07	121299	0.333333333333333	HS02	121230
HS07	121299	0.333333333333333	HS02	121299
HS07	130190	0.5	HS02	130110
HS07	130190	0.5	HS02	130190
HS07	130219	0.5	HS02	130214
HS07	130219	0.5	HS02	130219
HS07	140490	0.25	HS02	140200
HS07	140490	0.25	HS02	140300
HS07	140490	0.25	HS02	140410
HS07	140490	0.25	HS02	140490
HS07	151590	0.5	HS02	151540
HS07	151590	0.5	HS02	151590
HS07	200591	1	HS02	200590
HS07	200599	1	HS02	200590
HS07	230240	0.5	HS02	230220
HS07	230240	0.5	HS02	230240
HS07	230690	0.5	HS02	230670
HS07	230690	0.5	HS02	230690
HS07	250620	0.5	HS02	250621
HS07	250620	0.5	HS02	250629
HS07	250840	0.5	HS02	250820
HS07	250840	0.5	HS02	250840
HS07	251310	0.5	HS02	251311
HS07	251310	0.5	HS02	251319
HS07	251620	0.5	HS02	251621
HS07	251620	0.5	HS02	251622
HS07	252410	1	HS02	252400
HS07	252490	1	HS02	252400
HS07	270799	0.5	HS02	270760
HS07	270799	0.5	HS02	270799
HS07	281129	0.5	HS02	281123
HS07	281129	0.5	HS02	281129
HS07	282490	0.5	HS02	282420
HS07	282490	0.5	HS02	282490
HS07	282590	1	HS02	282590
HS07	285200	0.0344827586206897	HS02	282590
HS07	282619	0.5	HS02	282611
HS07	282619	0.5	HS02	282619
HS07	282690	0.5	HS02	282620
HS07	282690	0.5	HS02	282690
HS07	282739	0.25	HS02	282733
HS07	282739	0.25	HS02	282734
HS07	282739	0.25	HS02	282736
HS07	282739	0.25	HS02	282739
HS07	285200	0.0344827586206897	HS02	282739
HS07	282749	1	HS02	282749
HS07	285200	0.0344827586206897	HS02	282749
HS07	282760	1	HS02	282760
HS07	285200	0.0344827586206897	HS02	282760
HS07	283090	0.333333333333333	HS02	283020
HS07	283090	0.333333333333333	HS02	283030
